card,group,scene,policy,upgraded,mode,control,n,before_valid,after_valid,before_dwin_pp,after_dwin_pp,after_ci95_lo_pp,after_ci95_hi_pp,before_dhp,after_dhp,before_dturns,after_dturns,before_plays,after_plays,before_ready_plays,after_ready_plays,after_seen_turns,after_playable_turns,after_empty_plays,after_unused_qi,before_aborts,after_aborts,final_source
wanren,primary,anger-summon,greedy,0,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-1.23,1.57333,0.00667,-0.33333,431,406,0,0,471,427,0,0,0,0,after-wanren
wanren,primary,anger-summon,greedy,1,add1,skip,300,True,True,0,0,-1.647,1.647,1.90667,4.58,-0.51,-0.77333,406,392,0,0,449,405,0,0,0,0,after-wanren
wanren,primary,anger-summon,greedy,1,add2,skip,300,True,True,0,0,-1.647,1.647,2.13,6.59,-0.72667,-1.20333,617,558,0,0,712,640,0,0,0,0,after-wanren
wanren,primary,anger-summon,greedy,1,replace,shuiyanqijun,300,True,True,0.3333,0.3333,-1.5986,2.2543,-0.77,1.94667,0.05,-0.23,406,392,0,0,449,405,0,0,0,0,after-wanren
wanren,primary,anger-summon,tactical,0,add1,skip,300,True,True,0.3333,0.3333,-1.5986,2.2543,-1.55667,-0.25667,-0.46333,-0.77333,314,420,0,0,540,525,0,3,0,0,after-wanren
wanren,primary,anger-summon,tactical,0,add2,skip,300,True,True,0.3333,0.3333,-1.5986,2.2543,-3.18333,-0.40333,-0.47333,-1.08667,535,596,0,0,840,814,0,7,0,0,after-wanren
wanren,primary,anger-summon,tactical,0,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-0.96667,0.2,0.28667,-0.04,314,420,0,0,540,525,0,3,0,0,after-wanren
wanren,primary,anger-summon,tactical,1,add1,skip,300,True,True,0.3333,0.3333,-1.5986,2.2543,-0.31333,1.53,-0.79667,-1.15333,414,435,0,0,499,490,0,3,0,0,after-wanren
wanren,primary,anger-summon,tactical,1,add2,skip,300,True,True,0.3333,0.3333,-1.5986,2.2543,-0.16667,2.40667,-1.11667,-1.63667,589,574,0,0,742,721,0,7,0,0,after-wanren
wanren,primary,anger-summon,tactical,1,replace,shuiyanqijun,300,True,True,0,0,-1.647,1.647,-1.60667,0.27333,0.39333,-0.00333,414,435,0,0,499,490,0,3,0,0,after-wanren
wanren,primary,new-account,greedy,0,add1,skip,300,True,True,-7.0,-2.0,-7.7264,3.7923,-0.78667,0.81333,-0.21,-0.34333,426,409,0,0,478,435,0,0,0,0,after-wanren
wanren,primary,new-account,greedy,0,add2,skip,300,True,True,-13.0,-5.0,-11.1218,1.2865,-1.52333,0.58,-0.46667,-0.65333,627,598,0,0,785,735,0,0,0,0,after-wanren
wanren,primary,new-account,greedy,0,replace,yanqiyansha,300,True,True,-6.6667,-1.6667,-6.7693,3.4909,-2.15667,-0.30667,0.06667,-0.08,426,409,0,0,478,435,0,0,0,0,after-wanren
wanren,primary,new-account,greedy,1,add1,skip,300,True,True,-1.0,0,-5.4383,5.4383,1.24,2.64667,-0.35333,-0.53333,411,398,0,0,458,416,0,0,0,0,after-wanren
wanren,primary,new-account,greedy,1,add2,skip,300,True,True,-4.0,-0.6667,-6.0903,4.7789,1.05,3.68,-0.67333,-0.91333,598,582,0,0,746,701,0,0,0,0,after-wanren
wanren,primary,new-account,greedy,1,replace,yanqiyansha,300,True,True,-3.0,-1.3333,-5.7029,3.0802,-1.41333,0.31333,0.11,-0.07667,411,398,0,0,458,416,0,0,0,0,after-wanren
